# OVMX rd citation ledger -- DERIVED ARTIFACT. Do NOT hand-edit.
#
# Every gate that sells an exemption for a cited rd item id checks that id
# against this file. rd is nostr-backed and unreachable from CI, so the
# resolution happens on a host that has rd and the answer is committed.
#
# regenerate:   tools/gen_rd_citations.py
# freshness:    tests/integration/test_rd_citations_fresh.sh (needs rd)
# scanned:      src/, tools/ -- lines carrying an OVMX-<TOKEN>: marker
# open means:   the id appears in `rd list` (rd's own open set), not a
#               status name matched against a list kept in a gate.
# generated-at: 2026-08-05T16:41:44Z
#
# <rd id>	<open|closed|absent>	<rd status>	<title>
vms-042	open	blocked	Phase 3: the real VMS system facilities that must exist before remote access is faithful
vms-2d37	open	inbox	sys$sndopr writes the OPC message BLOCK to OPERATOR.LOG as if it were text, so every record's...
vms-407	open	inbox	RMS reaches no arbitrator: FAB share/access and RAB record locking have no lock manager behin...
vms-642	open	inbox	No executive system block: $GETTIM/$GETUTC read the host clock, $SETIMR/$CANTIM keep a proces...
vms-6aa	open	inbox	Channels and $QIO are process-local past the console: the executive issues one channel and ho...
vms-846.3	open	inbox	Rewrite sysuaf.c and sys_uai.c to use RMS
vms-905	open	blocked	Broadcast message delivery to SSH sessions + disconnect/reconnect
vms-911	open	inbox	sys$device_scan and sys$getdvi are fabricators, and tests/libvms/test_lib_fb3.c pins them in ...
vms-916	open	inbox	A3: Message facility — real idents, no invented ones
vms-a36	open	inbox	SET TERMINAL has no observable effect: it writes ctx->terminal, never IO$_SETMODE
vms-a86	open	inbox	vms_kif_close and vms_kif_getlki have no product path and no owning item (no sys$getlki exists)
vms-afc	open	inbox	Event flags: $WFLOR/$WFLAND have no A-writes/B-reads proof, and $ASCEFC's cluster-name handli...
vms-afd	open	inbox	$CREPRC does not propagate identity to the executive: every subprocess gets a fresh row with ...
vms-as1	open	active	ASTs are delivered by the executive, not per-process
vms-d37	open	blocked	System-wide logical names are per-process — DEFINE/SYSTEM and SYLOGICALS.CONF do not propagate
vms-dv1	open	inbox	Executive owns the device table — SHOW DEVICE reflects real VMS devices
vms-e0a	open	inbox	Global sections and the working-set services report SS$_NORMAL for work OVMX does not do ($CR...
vms-f15	open	blocked	OVMX enforces VMS file protection in the executive, and reports no privilege it cannot enforce
vms-f90	open	inbox	The compute-only services are unpinned: $FAO/$FAOL/$FAO_COUNT_ARGS, $NUMTIM/$ASCTIM/$BINTIM, ...
vms-mb1	open	blocked	Named mailboxes connect two unrelated processes ($CREMBX/$ASSIGN by name)
vms-pt1	open	inbox	Executive owns a process table that every process can query
vms-pv1	open	active	Privileges and access modes are enforced by the executive
